date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:39	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:12%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/02	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/02	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:39	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:12%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/03	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/03	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:39	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:12%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/01/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/01/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:39	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:12%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/1	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/1	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:39	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:12%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/0	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/0	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:40	348/348	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:13%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/projs/01	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/projs/01	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:41	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:14%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/04	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/04	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:41	1194/1194	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:14%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/0/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/0/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:41	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2017%20May%202018%2000:51:14%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/hw/0/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/hw/0/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:41	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:15%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/05	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/05	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
