date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:00	8474/8474	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n12-coinflip.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n12-coinflip.png	(from http://www.eecs70.org/static/notes/n12.html)
20:40:01	7701/7701	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n12-bin-4.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n12-bin-4.png	(from http://www.eecs70.org/static/notes/n12.html)
20:40:03	29378/29378	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n12-counting-2.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n12-counting-2.png	(from http://www.eecs70.org/static/notes/n12.html)
20:40:03	6689/6689	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n13-samplespace.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n13-samplespace.png	(from http://www.eecs70.org/static/notes/n13.html)
20:40:07	11221/11221	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n13-monty.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n13-monty.png	(from http://www.eecs70.org/static/notes/n13.html)
20:40:11	30863/30863	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n14-oval.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n14-oval.png	(from http://www.eecs70.org/static/notes/n14.html)
20:40:11	13131/13131	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n14-pharmacy.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n14-pharmacy.png	(from http://www.eecs70.org/static/notes/n14.html)
20:40:13	8178/8178	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n14-bins.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n14-bins.png	(from http://www.eecs70.org/static/notes/n14.html)
20:40:16	12885/12885	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n14-binprob.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n14-binprob.png	(from http://www.eecs70.org/static/notes/n14.html)
20:40:17	39085/39085	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n14-disorder.png	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n14-disorder.png	(from http://www.eecs70.org/static/notes/n14.html)
