date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:30	233/233	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2017%20May%202018%2000:58:02%20GMT	https://cs162.eecs.berkeley.edu/robots.txt		(from )
20:58:31	24184/24184	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:58:04%20GMT	https://cs162.eecs.berkeley.edu/	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/index.html	(from )
20:58:31	169/169	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20May%202018%2000:58:04%20GMT	http://cs162.eecs.berkeley.edu/static/site/favicon.ico	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/site/favicon.0.delayed	(from https://cs162.eecs.berkeley.edu/)
20:58:32	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22flask-1513751055.74-1150-1386811340%22	https://cs162.eecs.berkeley.edu/static/site/favicon.ico	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/site/favicon.ico	(from https://cs162.eecs.berkeley.edu/)
20:58:32	169/169	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20May%202018%2000:58:05%20GMT	http://cs162.eecs.berkeley.edu/static/css/bootstrap.min.css	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/css/bootstrap.min.css	(from https://cs162.eecs.berkeley.edu/)
20:58:34	121260/121260	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Dec%202017%2006:24:13%20GMT	https://cs162.eecs.berkeley.edu/static/css/bootstrap.min.css	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/css/bootstrap.min.css	(from https://cs162.eecs.berkeley.edu/)
20:58:34	169/169	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20May%202018%2000:58:07%20GMT	http://cs162.eecs.berkeley.edu/static/css/custom.css	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/css/custom.css	(from https://cs162.eecs.berkeley.edu/)
20:58:35	2566/2566	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Dec%202017%2006:24:13%20GMT	https://cs162.eecs.berkeley.edu/static/css/custom.css	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/css/custom.css	(from https://cs162.eecs.berkeley.edu/)
20:58:35	169/169	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20May%202018%2000:58:08%20GMT	http://cs162.eecs.berkeley.edu/static/js/bootstrap.min.js	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/js/bootstrap.min.js	(from https://cs162.eecs.berkeley.edu/)
20:58:36	169/169	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20May%202018%2000:58:09%20GMT	http://cs162.eecs.berkeley.edu/static/js/custom.js	C:/Users/yzkti/Desktop/cs162%20spring2018/cs162.eecs.berkeley.edu/static/js/custom.js	(from https://cs162.eecs.berkeley.edu/)
